Movies loaded: 10

Sort movies by:
1. IMDb Rating
2. Year of Release
3. Popularity (Votes)

Selected option: IMDb Rating

Quick Sort completed successfully.
Sorting time: 0 microseconds

First 20 sorted movies:
------------------------------------------------------------
Movie                         Rating    Year      Votes
------------------------------------------------------------
Tenet                         7.4       2020      400000
Following                     7.5       1998      200000
Dunkirk                       7.9       2017      350000
Batman Begins                 8.2       2005      450000
Memento                       8.4       2000      300000
The Prestige                  8.5       2006      600000
Oppenheimer                   8.5       2023      800000
Interstellar                  8.6       2014      750000
Inception                     8.8       2010      500000
The Dark Knight               9.0       2008      1000000
